English,Welsh,Gender
Aeroplane,Awyren,Feminine
Apple,Afal,Masculine
Book,Llyfr,Masculine
Business,Busnes,Masculine
Cat,Cath,Feminine
Cloud,Cwmwl,Masculine
Dog,Ci,Masculine
Dinner,Cinio,Masculine
Eagle,Eryr,Masculine
Environment,Amgylchedd,Masculine
Family,Teulu,Masculine
Face,Wyneb,Masculine
Gift,Anrheg,Feminine
Garden,Gardd,Feminine
Garbage,Sbwriel,Masculine
Hand,Llaw,Feminine
Health,Iechyd,Masculine
Internet,Rhyngrwyd,Feminine
Iron,Haearn,Masculine
Jacket,Siaced,Feminine
Jelly,Jeli,Masculine
Kitchen,Cegin,Feminine
Kettle,Tegell,Masculine
Lion,Llew,Masculine
Love,Cariad,Masculine
Machine,Peiriant,Masculine
Museum,Amgueddfa,Feminine
Money,Arian,Masculine
Night,Noson,Feminine
Novel,Nofel,Feminine
Oil,Olew,Masculine
Office,Swyddfa,Feminine
Player,Chwaraewr,Masculine
Park,Parc,Masculine
Queen,Brenhines,Feminine
Qualification,Cymhwyster,Masculine
Rabbit,Cwningen,Feminine
Ring,Modrwy,Feminine
Star,Seren,Feminine
Sun,Haul,Masculine
Ticket,Ticed,Masculine
Tiger,Teigr,Masculine
University,Prifysgol,Feminine
User,Defnyddiwr,Masculine
Vegetable,Llysieuyn,Masculine
Variable,Newidyn,Masculine
Weight,Pwys,Masculine
War,Rhyfel,Masculine
X-Ray,Pelydr-X,Masculine
Year,Blwydd,Feminine
Zebra,Sebra,Masculine
Zero,Sero,Masculine
School,Ysgol,Feminine
Road,Ffordd,Feminine
Nest,Nyth,Feminine
Heart,Calon,Feminine
Line,Llinell,Feminine
Owl,Tylluan,Feminine
Rock,Craig,Feminine
Knife,Cyllell,Feminine
Week,Wythnos,Feminine
Biscuit,Bisged,Feminine
Cake,Cacen,Feminine
Ireland,Iwerddon,Feminine
Christmas Island,Ynys y Nadolig,Feminine
Pancake,Crempog,Feminine
Exit,Allanfa,Feminine
Call,Galwad,Feminine
Aeroplanes,Awyrenau,Plural
Apples,Afalau,Plural
Books,Llyfrau,Plural
Businesses,Busnesau,Plural
Cats,Cathod,Plural
Clouds,Cwmwlau,Plural
Eagles,Eryrod,Plural
Biscuits,Bisgedi,Plural